,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bathsheba,75,BB,1554508800,83,13.22,-59.52,75.2,25.28
1,Mataura,0,NZ,1554510007,60,-46.19,168.86,53.01,1.99
2,Albany,90,US,1554510873,80,42.65,-73.75,34.0,4.7
3,Bratsk,24,RU,1554509551,53,56.15,101.63,24.8,2.24
4,Esperance,20,TT,1554510690,78,10.24,-61.45,78.8,3.36
5,Sorland,0,NO,1554510971,100,67.67,12.69,38.1,3.71
6,Koshurnikovo,24,RU,1554510973,43,54.3,93.39,25.68,5.73
7,Sioux Lookout,90,CA,1554508800,93,50.1,-91.92,37.4,5.82
8,Provideniya,0,RU,1554510975,100,64.42,-173.23,25.68,2.15
9,Camopi,92,GF,1554510976,76,3.17,-52.33,78.42,3.71
10,Rikitea,24,PF,1554510765,100,-23.12,-134.97,77.43,14.67
11,Bagdarin,64,RU,1554510979,51,54.44,113.59,16.95,4.38
12,Barrow,0,AR,1554510957,62,-38.31,-60.23,57.9,9.08
13,Lata,64,IN,1554510743,100,30.78,78.62,46.11,1.92
14,Nouadhibou,8,MR,1554508800,82,20.93,-17.03,64.4,16.11
15,Cayenne,92,GF,1554508800,94,4.94,-52.33,75.2,9.08
16,Bambous Virieux,75,MU,1554510241,94,-20.34,57.76,77.0,11.41
17,Mogok,24,MM,1554510987,89,22.92,96.51,61.95,1.81
18,Hobart,75,AU,1554510795,48,-42.88,147.33,64.0,19.46
19,Hithadhoo,0,MV,1554510989,100,-0.6,73.08,83.73,6.17
20,San Patricio,92,PY,1554510990,83,-26.98,-56.83,64.83,6.4
21,Gweta,36,BW,1554510992,60,-20.21,25.26,69.87,10.98
22,Port Alfred,92,ZA,1554510741,93,-33.59,26.89,60.01,1.01
23,Kapaa,1,US,1554510814,57,22.08,-159.32,80.6,8.05
24,Dunedin,0,NZ,1554510971,49,-45.87,170.5,55.0,7.0
25,Kamenka,88,RU,1554510996,97,53.19,44.05,31.98,8.75
26,Vaini,80,IN,1554510998,95,15.34,74.49,69.87,1.59
27,Tuktoyaktuk,5,CA,1554508800,84,69.44,-133.03,3.2,8.05
28,Mar del Plata,12,AR,1554511000,44,-46.43,-67.52,65.73,31.34
29,Kruisfontein,0,ZA,1554511001,87,-34.0,24.73,58.8,8.63
30,Hami,0,CN,1554511003,59,42.84,93.51,42.96,5.39
31,Saskylakh,8,RU,1554511004,73,71.97,114.09,8.13,9.98
32,Matelica,0,IT,1554510957,80,43.26,13.01,48.99,16.11
33,Cap Malheureux,75,MU,1554510842,94,-19.98,57.61,77.0,11.41
34,Roald,0,NO,1554510629,93,62.58,6.12,39.2,5.82
35,Georgetown,20,GY,1554508800,74,6.8,-58.16,80.6,9.17
